CONFERENCE,COMMUNITY
AISTATS,"['Yoshua Bengio', 'Neil D. Lawrence', 'Max Welling', 'Geoffrey J. Gordon', 'Eric P. Xing', 'Masashi Sugiyama', 'Naftali Tishby', 'Michael I. Jordan', 'Zoubin Ghahramani', 'Loïc Paulevé', 'Peter Bull', 'Sandra Alves', 'Supratik Mukhopadhyay', 'Silvio Ranise', 'Roberto Bruni', 'Tore Risch', 'Jaap van Oosten', 'Alexander S. Kossatchev', 'Steve Kremer', 'Xiaotong Shen', 'William J. Knottenbelt', 'Markus Garschall', 'Peter D. Mosses', 'Marino Miculan', 'Alan Jeffrey', 'Juan Manuel Murillo', 'Vasco Brattka', 'Vinícius Fernandes dos Santos', 'Axel Simon', 'Walter Vogler', 'Francesca Scozzari', 'Yves Van de Peer', 'Guo-Qiang Zhang 0001', 'Ugo Montanari', 'Jan J. M. M. Rutten', 'Moreno Falaschi', 'Slim Abdennadher', 'Wee Sun Lee', 'Mauricio Ayala-Rincón', 'Alexandra Silva 0001', 'Alessandra Di Pierro', 'Andrew M. Pitts', 'Philippe Thiran', 'Volker Stolz', 'Katja Neureiter', 'Sébastien Fourey', 'José Raymundo Marcial-Romero', 'Kerstin Eder', 'Lucília Figueiredo', 'Sergiy Bogomolov', 'Guido Sanguinetti', 'João Saraiva', 'Glenn Strong', 'Mao-kang Luo', 'Stephen D. Brookes', 'Fariba Sadri', 'Menouer Boubekeur', 'Nikolay Diakov', 'Pascal Poizat', 'Ulrike von Luxburg', 'Nello Cristianini', 'Héctor Cancela 0001', 'Mario R. F. Benevides', 'Klaus Havelund', 'Renata Wasserman', 'Irek Ulidowski', 'Maribel Fernández', 'Luoshan Xu', 'Ralf H. Reussner', 'Vasco Thudichum Vasconcelos', 'Vivek Nigam', 'Wolfgang Ahrendt', 'Samson Abramsky', 'Gabriel Coutinho', 'Lars Birkedal', 'Andrea Omicini', 'Michel P. Schellekens', 'Peter Baumgartner 0001', 'Julia Himmelsbach', 'Bart Jacobs 0001', 'Oded Maler', 'Ying-ming Liu', 'Henny B. Sipma', 'Qingguo Li', 'Juliana Küster Filipe Bowles', 'Michael J. Wooldridge', 'Yuri Gurevich', 'Yoshiharu Kohayakawa', 'Iñaki Inza', 'T. Yung Kong', 'Scott A. Smolka', 'Sebastián Urrutia', 'Rodrigo Santos', 'Sophia Drossopoulou', 'Ernesto Cuadros-Vargas', 'Santiago Escobar 0001', 'Tobias Nipkow', 'Tom Diethe', 'Mícheál Mac an Airchinnigh', 'Valeria de Paiva', 'José Aguilar 0001', 'Michael W. Mislove', 'Marko C. J. D. van Eekelen', 'John Power', 'Isabella Mastroeni', 'Nicola Cannata', 'Pierre-Etienne Moreau', 'John Shawe-Taylor', 'Yee Whye Teh', 'Carlos Olarte', 'Georgios Mylonas', 'Hans de Nivelle', 'Viviana Bono', 'Thomas T. Hildebrandt', 'Pascale Le Gall', 'Fabio Gadducci', 'Oleg Sokolsky', 'Erik P. de Vink', 'Yvan Saeys', 'Maria Chiara Meo', 'Jirí Adámek', 'Matthew Forshaw', 'Wiebe van der Hoek', 'Andre Scedrov', 'Ioannis Chatzigiannakis', 'Sandro Etalle', 'Juan Carlos Nieves', 'Barbara König 0001', 'Aris S. Lalos', 'Howard Barringer', 'Steffen Becker 0001', 'Ludwig Staiger', 'Valéria Farinazzo Martins', 'Nigel Thomas', 'José L. Balcázar', 'Reiko Heckel', 'Leendert W. N. van der Torre', 'Sam Staton', 'Maurice H. ter Beek', 'Steve A. Schneider', 'Richard Mayr', 'Richard Blute', 'Richard T. Oehrle', 'Orna Grumberg', 'Ted Hurley', 'Christophe Gaston', 'Patrícia D. L. Machado', 'Ruy J. G. B. de Queiroz', 'Pierluigi Crescenzi', 'Giuseppe Rosolini', 'Herbert Wiklicky', 'Vladimiro Sassone', 'Osama Nasser Alrajeh', 'René Thiemann', 'Helen C. Leligou', 'Abhik Roychoudhury', 'Sergio Yovine', 'Massimo Tivoli', 'Emanuela Merelli', 'Ofer Strichman', 'Venanzio Capretta', 'Nathalie Théret', 'Chun-Nan Hsu', 'Ion Petre', 'Sten Hanke', 'Corina S. Pasareanu', 'Louis Wehenkel', 'Ilaria Castellani', 'Hongwei Xi', 'Marina Lenisa', 'Michaela Huhn', 'Mirko Viroli', 'Boudewijn R. Haverkort', 'Cristian Sminchisescu']"
MFPS,"['Paul Blain Levy', 'Radu Mardare', 'Jirí Adámek', 'Loïc Paulevé', 'Peter Bull', 'Sandra Alves', 'Supratik Mukhopadhyay', 'Silvio Ranise', 'Roberto Bruni', 'Tore Risch', 'Jaap van Oosten', 'Alexander S. Kossatchev', 'Steve Kremer', 'Xiaotong Shen', 'William J. Knottenbelt', 'Markus Garschall', 'Peter D. Mosses', 'Marino Miculan', 'Alan Jeffrey', 'Juan Manuel Murillo', 'Vasco Brattka', 'Vinícius Fernandes dos Santos', 'Axel Simon', 'Walter Vogler', 'Francesca Scozzari', 'Yves Van de Peer', 'Guo-Qiang Zhang 0001', 'Ugo Montanari', 'Jan J. M. M. Rutten', 'Moreno Falaschi', 'Slim Abdennadher', 'Wee Sun Lee', 'Mauricio Ayala-Rincón', 'Alexandra Silva 0001', 'Alessandra Di Pierro', 'Neil D. Lawrence', 'Andrew M. Pitts', 'Philippe Thiran', 'Volker Stolz', 'Katja Neureiter', 'Sébastien Fourey', 'José Raymundo Marcial-Romero', 'Kerstin Eder', 'Lucília Figueiredo', 'Sergiy Bogomolov', 'Guido Sanguinetti', 'João Saraiva', 'Glenn Strong', 'Geoffrey J. Gordon', 'Mao-kang Luo', 'Stephen D. Brookes', 'Max Welling', 'Fariba Sadri', 'Menouer Boubekeur', 'Nikolay Diakov', 'Pascal Poizat', 'Ulrike von Luxburg', 'Nello Cristianini', 'Héctor Cancela 0001', 'Mario R. F. Benevides', 'Klaus Havelund', 'Renata Wasserman', 'Irek Ulidowski', 'Maribel Fernández', 'Luoshan Xu', 'Ralf H. Reussner', 'Vasco Thudichum Vasconcelos', 'Vivek Nigam', 'Wolfgang Ahrendt', 'Samson Abramsky', 'Gabriel Coutinho', 'Lars Birkedal', 'Andrea Omicini', 'Michel P. Schellekens', 'Peter Baumgartner 0001', 'Julia Himmelsbach', 'Bart Jacobs 0001', 'Oded Maler', 'Ying-ming Liu', 'Henny B. Sipma', 'Qingguo Li', 'Juliana Küster Filipe Bowles', 'Michael J. Wooldridge', 'Yuri Gurevich', 'Yoshiharu Kohayakawa', 'Iñaki Inza', 'T. Yung Kong', 'Scott A. Smolka', 'Sebastián Urrutia', 'Rodrigo Santos', 'Sophia Drossopoulou', 'Ernesto Cuadros-Vargas', 'Santiago Escobar 0001', 'Tobias Nipkow', 'Tom Diethe', 'Mícheál Mac an Airchinnigh', 'Valeria de Paiva', 'José Aguilar 0001', 'Michael W. Mislove', 'Marko C. J. D. van Eekelen', 'John Power', 'Isabella Mastroeni', 'Nicola Cannata', 'Pierre-Etienne Moreau', 'John Shawe-Taylor', 'Yee Whye Teh', 'Carlos Olarte', 'Georgios Mylonas', 'Hans de Nivelle', 'Viviana Bono', 'Thomas T. Hildebrandt', 'Pascale Le Gall', 'Fabio Gadducci', 'Oleg Sokolsky', 'Erik P. de Vink', 'Yvan Saeys', 'Maria Chiara Meo', 'Matthew Forshaw', 'Wiebe van der Hoek', 'Andre Scedrov', 'Ioannis Chatzigiannakis', 'Sandro Etalle', 'Juan Carlos Nieves', 'Barbara König 0001', 'Aris S. Lalos', 'Howard Barringer', 'Steffen Becker 0001', 'Ludwig Staiger', 'Valéria Farinazzo Martins', 'Nigel Thomas', 'José L. Balcázar', 'Reiko Heckel', 'Leendert W. N. van der Torre', 'Sam Staton', 'Maurice H. ter Beek', 'Steve A. Schneider', 'Richard Mayr', 'Richard Blute', 'Richard T. Oehrle', 'Orna Grumberg', 'Ted Hurley', 'Christophe Gaston', 'Patrícia D. L. Machado', 'Ruy J. G. B. de Queiroz', 'Pierluigi Crescenzi', 'Giuseppe Rosolini', 'Herbert Wiklicky', 'Vladimiro Sassone', 'Osama Nasser Alrajeh', 'René Thiemann', 'Helen C. Leligou', 'Abhik Roychoudhury', 'Sergio Yovine', 'Massimo Tivoli', 'Emanuela Merelli', 'Ofer Strichman', 'Venanzio Capretta', 'Nathalie Théret', 'Chun-Nan Hsu', 'Ion Petre', 'Sten Hanke', 'Corina S. Pasareanu', 'Louis Wehenkel', 'Ilaria Castellani', 'Hongwei Xi', 'Marina Lenisa', 'Michaela Huhn', 'Mirko Viroli', 'Boudewijn R. Haverkort', 'Prakash Panangaden', 'Martín Hötzel Escardó']"
CMCS,"['John Power', 'Marina Lenisa', 'Bart Jacobs 0001', 'Alexander Kurz 0001', 'Loïc Paulevé', 'Peter Bull', 'Sandra Alves', 'Supratik Mukhopadhyay', 'Silvio Ranise', 'Roberto Bruni', 'Tore Risch', 'Jaap van Oosten', 'Alexander S. Kossatchev', 'Steve Kremer', 'Xiaotong Shen', 'William J. Knottenbelt', 'Markus Garschall', 'Peter D. Mosses', 'Marino Miculan', 'Alan Jeffrey', 'Juan Manuel Murillo', 'Vasco Brattka', 'Vinícius Fernandes dos Santos', 'Axel Simon', 'Walter Vogler', 'Francesca Scozzari', 'Yves Van de Peer', 'Guo-Qiang Zhang 0001', 'Ugo Montanari', 'Jan J. M. M. Rutten', 'Moreno Falaschi', 'Slim Abdennadher', 'Wee Sun Lee', 'Mauricio Ayala-Rincón', 'Alexandra Silva 0001', 'Alessandra Di Pierro', 'Neil D. Lawrence', 'Andrew M. Pitts', 'Philippe Thiran', 'Volker Stolz', 'Katja Neureiter', 'Sébastien Fourey', 'José Raymundo Marcial-Romero', 'Kerstin Eder', 'Lucília Figueiredo', 'Sergiy Bogomolov', 'Guido Sanguinetti', 'João Saraiva', 'Glenn Strong', 'Geoffrey J. Gordon', 'Mao-kang Luo', 'Stephen D. Brookes', 'Max Welling', 'Fariba Sadri', 'Menouer Boubekeur', 'Nikolay Diakov', 'Pascal Poizat', 'Ulrike von Luxburg', 'Nello Cristianini', 'Héctor Cancela 0001', 'Mario R. F. Benevides', 'Klaus Havelund', 'Renata Wasserman', 'Irek Ulidowski', 'Maribel Fernández', 'Luoshan Xu', 'Ralf H. Reussner', 'Vasco Thudichum Vasconcelos', 'Vivek Nigam', 'Wolfgang Ahrendt', 'Samson Abramsky', 'Gabriel Coutinho', 'Lars Birkedal', 'Andrea Omicini', 'Michel P. Schellekens', 'Peter Baumgartner 0001', 'Julia Himmelsbach', 'Oded Maler', 'Ying-ming Liu', 'Henny B. Sipma', 'Qingguo Li', 'Juliana Küster Filipe Bowles', 'Michael J. Wooldridge', 'Yuri Gurevich', 'Yoshiharu Kohayakawa', 'Iñaki Inza', 'T. Yung Kong', 'Scott A. Smolka', 'Sebastián Urrutia', 'Rodrigo Santos', 'Sophia Drossopoulou', 'Ernesto Cuadros-Vargas', 'Santiago Escobar 0001', 'Tobias Nipkow', 'Tom Diethe', 'Mícheál Mac an Airchinnigh', 'Valeria de Paiva', 'José Aguilar 0001', 'Michael W. Mislove', 'Marko C. J. D. van Eekelen', 'Isabella Mastroeni', 'Nicola Cannata', 'Pierre-Etienne Moreau', 'John Shawe-Taylor', 'Yee Whye Teh', 'Carlos Olarte', 'Georgios Mylonas', 'Hans de Nivelle', 'Viviana Bono', 'Thomas T. Hildebrandt', 'Pascale Le Gall', 'Fabio Gadducci', 'Oleg Sokolsky', 'Erik P. de Vink', 'Yvan Saeys', 'Maria Chiara Meo', 'Jirí Adámek', 'Matthew Forshaw', 'Wiebe van der Hoek', 'Andre Scedrov', 'Ioannis Chatzigiannakis', 'Sandro Etalle', 'Juan Carlos Nieves', 'Barbara König 0001', 'Aris S. Lalos', 'Howard Barringer', 'Steffen Becker 0001', 'Ludwig Staiger', 'Valéria Farinazzo Martins', 'Nigel Thomas', 'José L. Balcázar', 'Reiko Heckel', 'Leendert W. N. van der Torre', 'Sam Staton', 'Maurice H. ter Beek', 'Steve A. Schneider', 'Richard Mayr', 'Richard Blute', 'Richard T. Oehrle', 'Orna Grumberg', 'Ted Hurley', 'Christophe Gaston', 'Patrícia D. L. Machado', 'Ruy J. G. B. de Queiroz', 'Pierluigi Crescenzi', 'Giuseppe Rosolini', 'Herbert Wiklicky', 'Vladimiro Sassone', 'Osama Nasser Alrajeh', 'René Thiemann', 'Helen C. Leligou', 'Abhik Roychoudhury', 'Sergio Yovine', 'Massimo Tivoli', 'Emanuela Merelli', 'Ofer Strichman', 'Venanzio Capretta', 'Nathalie Théret', 'Chun-Nan Hsu', 'Ion Petre', 'Sten Hanke', 'Corina S. Pasareanu', 'Louis Wehenkel', 'Ilaria Castellani', 'Hongwei Xi', 'Michaela Huhn', 'Mirko Viroli', 'Boudewijn R. Haverkort']"
LSFA,"['Carlos Olarte', 'Ugo Montanari', 'Sandra Alves', 'Maribel Fernández', 'Mario R. F. Benevides', 'Elaine Pimentel', 'René Thiemann', 'Loïc Paulevé', 'Peter Bull', 'Supratik Mukhopadhyay', 'Silvio Ranise', 'Roberto Bruni', 'Tore Risch', 'Jaap van Oosten', 'Alexander S. Kossatchev', 'Steve Kremer', 'Xiaotong Shen', 'William J. Knottenbelt', 'Markus Garschall', 'Peter D. Mosses', 'Marino Miculan', 'Alan Jeffrey', 'Juan Manuel Murillo', 'Vasco Brattka', 'Vinícius Fernandes dos Santos', 'Axel Simon', 'Walter Vogler', 'Francesca Scozzari', 'Yves Van de Peer', 'Guo-Qiang Zhang 0001', 'Jan J. M. M. Rutten', 'Moreno Falaschi', 'Slim Abdennadher', 'Wee Sun Lee', 'Mauricio Ayala-Rincón', 'Alexandra Silva 0001', 'Alessandra Di Pierro', 'Neil D. Lawrence', 'Andrew M. Pitts', 'Philippe Thiran', 'Volker Stolz', 'Katja Neureiter', 'Sébastien Fourey', 'José Raymundo Marcial-Romero', 'Kerstin Eder', 'Lucília Figueiredo', 'Sergiy Bogomolov', 'Guido Sanguinetti', 'João Saraiva', 'Glenn Strong', 'Geoffrey J. Gordon', 'Mao-kang Luo', 'Stephen D. Brookes', 'Max Welling', 'Fariba Sadri', 'Menouer Boubekeur', 'Nikolay Diakov', 'Pascal Poizat', 'Ulrike von Luxburg', 'Nello Cristianini', 'Héctor Cancela 0001', 'Klaus Havelund', 'Renata Wasserman', 'Irek Ulidowski', 'Luoshan Xu', 'Ralf H. Reussner', 'Vasco Thudichum Vasconcelos', 'Vivek Nigam', 'Wolfgang Ahrendt', 'Samson Abramsky', 'Gabriel Coutinho', 'Lars Birkedal', 'Andrea Omicini', 'Michel P. Schellekens', 'Peter Baumgartner 0001', 'Julia Himmelsbach', 'Bart Jacobs 0001', 'Oded Maler', 'Ying-ming Liu', 'Henny B. Sipma', 'Qingguo Li', 'Juliana Küster Filipe Bowles', 'Michael J. Wooldridge', 'Yuri Gurevich', 'Yoshiharu Kohayakawa', 'Iñaki Inza', 'T. Yung Kong', 'Scott A. Smolka', 'Sebastián Urrutia', 'Rodrigo Santos', 'Sophia Drossopoulou', 'Ernesto Cuadros-Vargas', 'Santiago Escobar 0001', 'Tobias Nipkow', 'Tom Diethe', 'Mícheál Mac an Airchinnigh', 'Valeria de Paiva', 'José Aguilar 0001', 'Michael W. Mislove', 'Marko C. J. D. van Eekelen', 'John Power', 'Isabella Mastroeni', 'Nicola Cannata', 'Pierre-Etienne Moreau', 'John Shawe-Taylor', 'Yee Whye Teh', 'Georgios Mylonas', 'Hans de Nivelle', 'Viviana Bono', 'Thomas T. Hildebrandt', 'Pascale Le Gall', 'Fabio Gadducci', 'Oleg Sokolsky', 'Erik P. de Vink', 'Yvan Saeys', 'Maria Chiara Meo', 'Jirí Adámek', 'Matthew Forshaw', 'Wiebe van der Hoek', 'Andre Scedrov', 'Ioannis Chatzigiannakis', 'Sandro Etalle', 'Juan Carlos Nieves', 'Barbara König 0001', 'Aris S. Lalos', 'Howard Barringer', 'Steffen Becker 0001', 'Ludwig Staiger', 'Valéria Farinazzo Martins', 'Nigel Thomas', 'José L. Balcázar', 'Reiko Heckel', 'Leendert W. N. van der Torre', 'Sam Staton', 'Maurice H. ter Beek', 'Steve A. Schneider', 'Richard Mayr', 'Richard Blute', 'Richard T. Oehrle', 'Orna Grumberg', 'Ted Hurley', 'Christophe Gaston', 'Patrícia D. L. Machado', 'Ruy J. G. B. de Queiroz', 'Pierluigi Crescenzi', 'Giuseppe Rosolini', 'Herbert Wiklicky', 'Vladimiro Sassone', 'Osama Nasser Alrajeh', 'Helen C. Leligou', 'Abhik Roychoudhury', 'Sergio Yovine', 'Massimo Tivoli', 'Emanuela Merelli', 'Ofer Strichman', 'Venanzio Capretta', 'Nathalie Théret', 'Chun-Nan Hsu', 'Ion Petre', 'Sten Hanke', 'Corina S. Pasareanu', 'Louis Wehenkel', 'Ilaria Castellani', 'Hongwei Xi', 'Marina Lenisa', 'Michaela Huhn', 'Mirko Viroli', 'Boudewijn R. Haverkort']"
CLEI Selected Papers,"['Loïc Paulevé', 'Peter Bull', 'Sandra Alves', 'Supratik Mukhopadhyay', 'Silvio Ranise', 'Roberto Bruni', 'Tore Risch', 'Jaap van Oosten', 'Alexander S. Kossatchev', 'Steve Kremer', 'Xiaotong Shen', 'William J. Knottenbelt', 'Markus Garschall', 'Peter D. Mosses', 'Marino Miculan', 'Alan Jeffrey', 'Juan Manuel Murillo', 'Vasco Brattka', 'Vinícius Fernandes dos Santos', 'Axel Simon', 'Walter Vogler', 'Francesca Scozzari', 'Yves Van de Peer', 'Guo-Qiang Zhang 0001', 'Ugo Montanari', 'Jan J. M. M. Rutten', 'Moreno Falaschi', 'Slim Abdennadher', 'Wee Sun Lee', 'Mauricio Ayala-Rincón', 'Alexandra Silva 0001', 'Alessandra Di Pierro', 'Neil D. Lawrence', 'Andrew M. Pitts', 'Philippe Thiran', 'Volker Stolz', 'Katja Neureiter', 'Sébastien Fourey', 'José Raymundo Marcial-Romero', 'Kerstin Eder', 'Lucília Figueiredo', 'Sergiy Bogomolov', 'Guido Sanguinetti', 'João Saraiva', 'Glenn Strong', 'Geoffrey J. Gordon', 'Mao-kang Luo', 'Stephen D. Brookes', 'Max Welling', 'Fariba Sadri', 'Menouer Boubekeur', 'Nikolay Diakov', 'Pascal Poizat', 'Ulrike von Luxburg', 'Nello Cristianini', 'Héctor Cancela 0001', 'Mario R. F. Benevides', 'Klaus Havelund', 'Renata Wasserman', 'Irek Ulidowski', 'Maribel Fernández', 'Luoshan Xu', 'Ralf H. Reussner', 'Vasco Thudichum Vasconcelos', 'Vivek Nigam', 'Wolfgang Ahrendt', 'Samson Abramsky', 'Gabriel Coutinho', 'Lars Birkedal', 'Andrea Omicini', 'Michel P. Schellekens', 'Peter Baumgartner 0001', 'Julia Himmelsbach', 'Bart Jacobs 0001', 'Oded Maler', 'Ying-ming Liu', 'Henny B. Sipma', 'Qingguo Li', 'Juliana Küster Filipe Bowles', 'Michael J. Wooldridge', 'Yuri Gurevich', 'Yoshiharu Kohayakawa', 'Iñaki Inza', 'T. Yung Kong', 'Scott A. Smolka', 'Sebastián Urrutia', 'Rodrigo Santos', 'Sophia Drossopoulou', 'Ernesto Cuadros-Vargas', 'Santiago Escobar 0001', 'Tobias Nipkow', 'Tom Diethe', 'Mícheál Mac an Airchinnigh', 'Valeria de Paiva', 'José Aguilar 0001', 'Michael W. Mislove', 'Marko C. J. D. van Eekelen', 'John Power', 'Isabella Mastroeni', 'Nicola Cannata', 'Pierre-Etienne Moreau', 'John Shawe-Taylor', 'Yee Whye Teh', 'Carlos Olarte', 'Georgios Mylonas', 'Hans de Nivelle', 'Viviana Bono', 'Thomas T. Hildebrandt', 'Pascale Le Gall', 'Fabio Gadducci', 'Oleg Sokolsky', 'Erik P. de Vink', 'Yvan Saeys', 'Maria Chiara Meo', 'Jirí Adámek', 'Matthew Forshaw', 'Wiebe van der Hoek', 'Andre Scedrov', 'Ioannis Chatzigiannakis', 'Sandro Etalle', 'Juan Carlos Nieves', 'Barbara König 0001', 'Aris S. Lalos', 'Howard Barringer', 'Steffen Becker 0001', 'Ludwig Staiger', 'Valéria Farinazzo Martins', 'Nigel Thomas', 'José L. Balcázar', 'Reiko Heckel', 'Leendert W. N. van der Torre', 'Sam Staton', 'Maurice H. ter Beek', 'Steve A. Schneider', 'Richard Mayr', 'Richard Blute', 'Richard T. Oehrle', 'Orna Grumberg', 'Ted Hurley', 'Christophe Gaston', 'Patrícia D. L. Machado', 'Ruy J. G. B. de Queiroz', 'Pierluigi Crescenzi', 'Giuseppe Rosolini', 'Herbert Wiklicky', 'Vladimiro Sassone', 'Osama Nasser Alrajeh', 'René Thiemann', 'Helen C. Leligou', 'Abhik Roychoudhury', 'Sergio Yovine', 'Massimo Tivoli', 'Emanuela Merelli', 'Ofer Strichman', 'Venanzio Capretta', 'Nathalie Théret', 'Chun-Nan Hsu', 'Ion Petre', 'Sten Hanke', 'Corina S. Pasareanu', 'Louis Wehenkel', 'Ilaria Castellani', 'Hongwei Xi', 'Marina Lenisa', 'Michaela Huhn', 'Mirko Viroli', 'Boudewijn R. Haverkort']"
ISDT,"['Qingguo Li', 'Hui Kou', 'Xiangnan Zhou']"
MFCSIT,"['John Power', 'Giuseppe Rosolini']"
ABMB,
ACML,
AISTATS,
