author,h_index
A. Chugayenko,1
A. Fauquette,1
A. J. van Leeuwen,1
A. John Power,2
A. Philip Dawid,2
A. Prasad Vinod 0001,1
A. Robert Calderbank,1
A. W. Roscoe 0001,2
Aad van Moorsel,2
Aapo Hyvärinen,3
Aaron Archer,1
Aaron C. Courville,3
Aaron Daniels,1
Aaron Stump,2
Aart Middeldorp,2
Aarti Singh,3
Abdel-rahman Mohamed,1
Abdelmalek Benzekri,1
Abdelwahab Hamou-Lhadj,1
Abderrazak M. Latifi,1
Abdeslam Boularias,1
Abdessamad Imine,1
Abdollah Koolivand,1
Abdulaziz Alnori,1
Abdulhadi Shoufan,1
Abdulsalam S. Alghamdi,1
Abe Stephens,1
Abeer S. Al-Humaimeedy,1
Abhik Roychoudhury,1
Abhinav Narasingam,1
Abhradeep Thakurta,1
Abigail Ondeck,2
Abu Nasser Mohammed Abdullah,1
Abubakar Hassan,1
Achim Jung,3
Achim Schwämmle,1
Adam Cattermole,1
Adam Chlipala,1
Adam Craig Pocock,1
Adam Mazikowski,1
Adam Rogalewicz,1
Adam Woznica,1
Adam Wright,1
Adel Mhamdi,2
Adi Palm,1
Aditya Dendukuri,1
Aditya Kanade,1
Aditya V. Thakur,1
Adolfo Ballester-Bolinches,1
Adrian Caspari,1
Adrian Johnston,1
Adriana Arza 0001,1
Adriana B. Compagnoni,2
Adriano Dodó,1
Adriano Peron,1
Adrienn Szabó,1
Adrià Gascón,1
Adrián Romero-Garcés,1
Afaq Ahmad 0002,1
Afif Sellami,1
Afonso Sales,1
Agata Ciabattoni,1
Agathe Merceron,1
Agustina Buccella,1
Agustín Cernuda del Río,1
Agustín Valverde,2
Ahmad Addo,2
Ahmad Ridha,1
Ahmed Baruwa,1
Ahmed Bouajjani,1
Ahmed K. Farahat,1
Ahmet Palazoglu,1
Ahsan Wahab,1
Ai Kawamura,1
Ajay Ganesh,1
Ajit Gopalakrishnan,1
Ajit P. Singh,1
Akash Lal,1
Akihiro Koide,1
Akimichi Takemura,1
Akira Kanazawa,1
Akshat Kumar,1
Akshay Ajagekar,1
Ala E. F. Bouaswaig,1
Alain Finkel,1
Alain Frisch,1
Alain Girault,1
Alan Barnard,1
Alan Bundy,1
Alan De Renzis,1
Alan Fern,1
Alan Jeffrey,2
Alan Johnston,1
Alan P. Sprague,1
Alan S. Willsky,2
Alan Stewart,1
Alan Veliz-Cuba,1
Alanood A. Alsarayreh,1
Alard Roebroeck,1
Alba Ruiz-Aguirre,1
Alban Ponse,1
Albert Bifet,3
Albert Shaqiri,1
Alberto Avritzer,1
Alberto Casagrande,1
Alberto Giovanni Busetto,1
Alberto Lluch-Lafuente,1
Alberto Martelli,1
Alberto Martínez,1
Alberto Molinari,1
Alberto Momigliano,1
Alberto Policriti,3
Alberto Verdejo,3
Alcino Cunha,2
Alejandra Cechich,2
Alejandro Díaz-Caro,2
Alejandro G. Marchetti,1
Alejandro Gadea,1
Alejandro Garcia del Valle,1
Alejandro Marquez-Ruiz,1
Alejandro Ríos 0001,2
Alejandro Zunino,1
Alekh Agarwal,1
Aleksandrs Slivkins,1
Aleksey Nogin,1
Aleksey Polovinkin,1
Ales Bizjak,2
Ales Pejznoch,1
Ales Pultr,1
Alesom Zorzi,1
Alessandra Di Pierro,3
Alessandra Palmigiano,1
Alessandra Sciutti,1
Alessandro Armando,2
Alessandro Coglio,1
Alessandro Erto,1
Alessandro Hill,1
Alessandro Lazaric,1
Alessandro Ricci,1
Alessandro Rinaldo,1
Alessandro Rozza,1
Alessandro Tiberi,1
Alessandro Verri,1
Alessia Battisti,1
Alessio Lomuscio,1
Alex Bertei,1
Alex Buckley,1
Alex Krizhevsky,1
Alex Simpson,1
Alex Suzdaltsev,1
Alex Villazón,1
Alex de V. Garcia,1
Alexander A. Letichevsky,1
Alexander Clark,1
Alexander G. Gray,1
Alexander Ihler,3
Alexander J. Smola,4
Alexander Knapp,1
Alexander Kurz 0001,4
Alexander L. Bowler,1
Alexander L. Strehl,1
Alexander Lazovik,1
Alexander Lorbert,1
Alexander Mitsos,3
Alexander N. Dolia,1
Alexander Paprotny,1
Alexander Pretschner,1
Alexander R. Statnikov,4
Alexander Rakhlin,3
Alexander S. Green,1
Alexander S. Kossatchev,1
Alexander V. Lyaletski,1
Alexandra Silva 0001,2
Alexandra Tsyban,2
Alexandre A. Cezar,1
Alexandre Chapoutot,1
Alexandre Frias Faria,1
Alexandre Goldsztejn,1
Alexandre Klementiev,1
Alexandre Lacoste,1
Alexandre Lemke,1
Alexandre Madeira,3
Alexandre Mota 0001,1
Alexandre Moïse,1
Alexandre Sztajnberg,1
Alexandre Tessier,1
Alexandre Yakovlev,1
Alexandros Kalousis,1
Alexandros Karatzoglou,1
Alexandru Baltag,3
Alexandru Niculescu-Mizil,2
Alexandru Tatulea-Codrean,1
Alexey Cherchago,1
Alexis Basantis,1
Alexsandro Oliveira Alexandrino,1
Alfonso Sandoval Rosas,1
Alfredo Navarra,1
Alfredo Olivero,2
Ali A. Babaei-Brojeny,1
Ali Almansoori,1
Ali E. Abdallah,1
Ali Elkamel,3
Ali Ghodsi 0001,1
Ali Jalali,1
Ali Mesbah 0002,2
Ali Movaghar-Rahimabadi,1
Ali Nasrat Haidar,1
Ali Rahimi,1
Ali Taylan Cemgil,1
Alice Hsiaw,1
Alicia Román-Martinez,1
Alicia Villanueva,1
Alison R. Panisson,1
Aljaz Baumkircher,1
Allahsera Tapo,1
Allan Clark,2
Allen Ibiapina,1
Alona Fyshe,1
Aloysius K. Mok,1
Altaf Hussain,1
Alvaro Dueñas-Ruiz,1
Alvaro Orjuela 0001,2
Alvaro Tasistro,2
Alwen Tiu,1
Amaury Habrard,1
Ambuj Tewari,4
Ameet Talwalkar,1
Aminu Zakari Yusuf,1
Amir Globerson,3
Amir M. Tavala,1
Amit Daniely,1
Amit Gruber,1
Amit Patel 0001,1
Amitabha Sanyal,1
Amiya K. Jana,1
Amnon H. Eden,1
Amos E. Lu,1
Amos J. Storkey,2
Amr Ahmed 0001,2
Amr Sabry,2
Amro M. Al-Hroub,1
Amy Elizabeth Furniss,1
Amy P. Felty,2
Amílcar Sernadas,1
An C. Tran,1
Ana Bove,1
Ana C. Lopes,1
Ana Cavalcanti 0001,1
Ana Cristina Rocha Oliveira,2
Ana Cristina Vieira de Melo,1
Ana Iglesias,1
Ana Karolinna Maia,1
Ana Luísa C. Furtado,1
Ana M. Ribeiro,1
Ana Paula F. D. Barbosa-Póvoa,1
Ana Paula Lüdtke Ferreira,1
Ana Paula Meneguelo,1
Ana Paula dos Santos Dantas,1
Ana R. Cavalli,1
Ana Silva 0001,1
Ana Teresa C. Martins,2
Anamaria Martins Moreira,1
Anastasis Georgoulas,1
Anderson Braga de Avila,1
Anderson G. da Silva,1
Andis Sofianos,1
Andras Kemeny,1
Andre Scedrov,1
Andrea Asperti,1
Andrea Baldini,1
Andrea Bobbio,1
Andrea Bondavalli,1
Andrea Bracciali,1
Andrea Capriccioli,1
Andrea Ceccarelli,1
Andrea Corradini 0001,1
Andrea Delgado 0001,1
Andrea Formisano 0001,1
Andrea Jiménez,1
Andrea König,1
Andrea Maggiolo-Schettini,3
Andrea Omicini,1
Andrea Vedaldi,1
Andrea Y. Weiße,1
Andrea Zanoni,1
Andreas Abel 0001,1
Andreas Argyriou,1
Andreas Blume,1
Andreas C. Döring,1
Andreas Eibeck,1
Andreas Franke 0001,1
Andreas G. Boudouvis,2
Andreas Griesmayer,1
Andreas Grüner,1
Andreas Holzinger,1
Andreas Janecek,1
Andreas Kanavos,1
Andreas Köhler,1
Andreas Leicher,1
Andreas P. Streich,1
Andreas Reischmann,1
Andreas Roth 0002,1
Andreas Ruttor,1
Andreas S. Bommarius,1
Andreas Stuhlmüller,1
Andreas Wendemuth,1
Andreas Zeller,1
Andreea Beica,1
Andrei Costa,1
Andreia Mordido,1
Andres Flores,1
Andres Rojas Paredes,1
Andres Tello,1
Andrew B. Goldberg,2
Andrew D. Gordon 0001,1
Andrew Fish,1
Andrew G. Howard,1
Andrew Gacek,1
Andrew Guillory,2
Andrew J. Millar,1
Andrew J. Sinclair,1
Andrew Kennedy,1
Andrew L. Maas,1
Andrew Lonie,1
Andrew M. Pitts,4
Andrew McGregor 0001,1
Andrew Moran,1
Andrew S. Gibson,1
Andrew Stephen McGough,1
Andrew W. Appel,1
Andrew W. Moore 0001,1
Andrew Zisserman,1
Andrew Zupon,1
Andrey Gulin,1
Andries Stam,1
Andriy Mnih,1
András Falus,2
András Horváth,2
András Millinghoffer,1
André Ebling Brondani,1
André Elisseeff,1
André Luiz Pires Guedes,2
André Müller,1
André Platzer,3
André Rauber Du Bois,3
André Takeshi Endo,1
Andrés Arrigoni,1
Andrés Bujosa,1
Andrés M. Bordese,1
Andrés Paz,1
Andrés Viso,1
Andy Gill,1
Andy Schürr,2
Andy Way,1
Angel García Olaya,1
Angel Xin Yee Mah,1
Angelo Montanari,1
Angiras Menon,1
Angus MacLellan,1
Angèle M. Foley,1
Aniana Cruz,1
Anil K. Seth,1
Anind K. Dey,1
Anindya Banerjee 0001,1
Anis Yazidi,1
Anjan Kumar Tula,1
Anjolina Grisi de Oliveira,1
Ankan Saha,1
Anker Degn Jensen,1
Ankur Agiwal,1
Ankur Bapna,1
Ann B. Lee,1
Ann Q. Gates,1
Ann-Kathrin Wortmeier,1
Anna Ingólfsdóttir,2
Anna Lisa Ferrara,1
Anna-Maria Rivas McGowan,1
Annabelle McIver,3
Anne Doucet,1
Anne Koziolek,1
Anne Martens,1
Anne Neville,1
Anne Remke,1
Anne Siegel,1
Annegret Habel,1
Annegret Wagler,1
Anneliese Schauerte,1
Annette Hagengruber,1
Annette Rios,1
Annie Foret,1
Anoop Korattikara Balan,1
Ansaf Salleb-Aouissi,1
Anshuman Sinha,1
Anthony Karel Seda,1
Antje C. Spiess,1
Antoine Bordes,3
Antoine Miné,1
Anton A. Kiss,1
Anton Ochoa Bique,1
Anton Stefanek,1
Antonia Bertolino,1
Antonia Stefani,1
Antonino Salibra,1
Antonio Bandera,1
Antonio Brogi,1
Antonio Bucciarelli,1
Antonio Buffo,1
Antonio Cansado,1
Antonio Caruso 0002,1
Antonio Carvalho Júnior,1
Antonio Cerone,1
Antonio Guarino,1
Antonio Javier Gallego Sánchez,1
Antonio Montalbán,1
Antonio Natali,1
Antonio Vallecillo,1
Antonio Visioli,1
Antonios Anastasopoulos,1
Antti Airola,1
Antti Ajanki,1
Antti Kervinen,1
António Ravara,1
António Valente,1
Antônio Carlos da Rocha Costa,3
Apiwat Chantawibul,1
Apoorva M. Sampat,1
Aravind Devanand,1
Argyris Zardilis,1
Ari Korhonen,1
Arild B. Torjusen,1
Aris S. Lalos,3
Arjeh M. Cohen,1
Armin Biere,3
Arnab Ray,1
Arnak S. Dalalyan,2
Arnaldo V. Moura,1
Arnaud Doucet,1
Arnault Lapitre,1
Arnd Poetzsch-Heffter,2
Arne Mauser,1
Artem Sokolov,1
Artem Starostin,1
Arthur Azevedo de Amorim,1
Arthur Gretton,3
Arthur U. Asuncion,1
Artin Armagan,1
Artur Boronat,2
Artur Wrona,1
Arturo Jiménez-Gutiérrez,1
Arul Jayaraman,1
Arun C. Surendran,1
Arun Joseph,1
Arun Pankajakshan,1
Arun Rajkumar,1
Aruna Coimbatore Meenakshi Sundaram,1
Arve Gengelbach,1
Ashish Tiwari 0001,1
Ashok K. Goel 0001,1
Asma Nakhli,1
Asmaa A. R. Awad,1
Assaf J. Kfoury,1
Assalé Adjé,1
Asterios Gavriilidis,1
Astrid Weiss,1
Asuka Takai,1
Asuman Sünbül,1
Atsushi Mizuno,1
Attila Vizhanyo,1
Augusto Sampaio,1
Aurora del Carmen Munguía-López,1
Aurore Alcolei,1
Aurélie C. Lozano,1
Aurélien Garivier,1
Avelino J. Gonzalez,1
Avishek Saha,2
Avleen Singh Bijral,1
Avneesh Singh Saluja,1
Avrim Blum,1
Axel Legay,2
Axel Martens,1
Axel Simon,1
Ayad Nasser-dine,1
Ayanda Mnyakeni,1
Ayodele Awokoya,1
Ayse Erkan,1
Azalea Raad,1
Azriel Rosenfeld,1
B. Bitachon,1
B. Erik Ydstie,1
Babagana Modu,1
Babak Ahmadi,1
Babak Nadjar Araabi,1
Babji Srinivasan,1
Baggie W. Nyande,1
Bahman Naderi,1
Balaji Krishnapuram,2
Balaji Lakshminarayanan,1
Balder ten Cate,1
Balázs Kégl,5
Bao-Gang Hu,1
Baptiste Jeudy,1
Barbara Ernst,1
Barbara König 0001,1
Barbara Sprick,1
Barbora Zimmerová,2
Barnabás Póczos,2
Barrett R. Bryant,1
Barry Jay,2
Bart De Moor,1
Bart Jacobs 0001,6
Bart Massey,1
Bart Preneel,1
Bart Windels,1
Bart Wydaeghe,1
