author_id,affiliation
Antonio A. Casilli,NAROPA UNIVERSITY
Antonio Santos-Ortega,SOUTHERN COLLEGE OF OPTOMETRY
José Luis Molina,ROGER WILLIAMS UNIVERSITY
Paola Tubaro,VERMONT TECHNICAL COLLEGE
Guangwei Hu,ANTIOCH UNIVERSITY-MIDWEST
Lex M. Bouter,PARK UNIVERSITY
Natalie Evans,SOUTHERN METHODIST UNIVERSITY
Shaoxiong Brian Xu,COLUMBIA INTERNATIONAL UNIVERSITY
Alison L. Antes,MILES COLLEGE
Kari A. Baldwin,CRISWELL COLLEGE
Samuel V. Bruton,SUNY COLLEGE OF AGRICULTURE AND TECHNOLOGY AT COBLESKILL
Stephanie Solomon Cargill,PENNSYLVANIA STATE UNIVERSITY-PENN STATE YORK
Tristan J. McIntosh,UNIVERSITY OF ARKANSAS-FORT SMITH
Flavio Comim,BRYN MAWR COLLEGE
Georgina Curto,KENT STATE UNIVERSITY AT KENT
Anne-Floor J. de Kanter,CARNEGIE MELLON UNIVERSITY
Annelien L. Bredenoord,THE COLLEGE OF SAINT SCHOLASTICA
Carlijn V. C. Bouten,OTTAWA UNIVERSITY-PHOENIX
Karin Jongsma,NATIONAL AMERICAN UNIVERSITY-KINGS BAY
Daniele Chiffi,STRAYER UNIVERSITY-DELAWARE
Lorenza Petrini,RASMUSSEN UNIVERSITY-FLORIDA
Luca Zanetti,UNIVERSITY OF THE WEST
Diana Adela Martin,UNIVERSITY OF VIRGINIA-MAIN CAMPUS
Gianluigi Viscusi,NAROPA UNIVERSITY
Gunter Bombaerts,MOUNT ALOYSIUS COLLEGE
Kyriaki Papageorgiou,MANHATTAN CHRISTIAN COLLEGE
Maja Horst,CALVARY UNIVERSITY
Christopher Lawrence,PLATT COLLEGE-LOS ANGELES
Keith Raffel,UNIVERSITY OF CENTRAL FLORIDA
L. Mahadevan,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY
Sam Weiss Evans,MESSIAH UNIVERSITY
Sheila Jasanoff,HERITAGE CHRISTIAN UNIVERSITY
Alison J. Kerr,SCHOOL OF VISUAL ARTS
Andrew Chung,UNIVERSITY OF MISSOURI-COLUMBIA
Athena Lin,UTAH VALLEY UNIVERSITY
Justin L. Hess,RHODE ISLAND COLLEGE
Daniel Pizzolato,FORDHAM UNIVERSITY
Kris Dierickx,FINGER LAKES HEALTH COLLEGE OF NURSING & HEALTH SCIENCES
Dmytro Mykhailov,DAVIDSON COLLEGE
Galit Wellner,SUNY COLLEGE OF TECHNOLOGY AT CANTON
Nina Frahm,SAINT NORBERT COLLEGE
Sebastian M. Pfotenhauer,PAUL QUINN COLLEGE
Sophia Knopf,CITY COLLEGE-GAINESVILLE
Marc Champagne,CUNY MEDGAR EVERS COLLEGE
Ryan Tonkens,ANDERSON UNIVERSITY
Nihat Kotluk,COLORADO SCHOOL OF MINES
Roland Tormey,WAKE FOREST UNIVERSITY
Siara Isaac,BOB JONES UNIVERSITY
Clara Berridge,LESLEY UNIVERSITY
George Demiris,QUINNIPIAC UNIVERSITY
Jeffrey Kaye,CLARKE UNIVERSITY
Gonzalo Génova,CALIFORNIA STATE UNIVERSITY-DOMINGUEZ HILLS
M. Rosario González,STONE CHILD COLLEGE
Valentin Moreno 0001,MANHATTAN SCHOOL OF MUSIC
Christine Milchram,SOUTHERN UNIVERSITY AND A & M COLLEGE
Giovanni Frigo,SALISBURY UNIVERSITY
Rafaela Hillerbrand,TALMUDICAL SEMINARY OHOLEI TORAH
Elise Smith,SOUTHWESTERN UNIVERSITY
Hugh Desmond,MARYVILLE UNIVERSITY OF SAINT LOUIS
Jacopo Ambrosj,INTER AMERICAN UNIVERSITY OF PUERTO RICO-AGUADILLA
Abdullah Bennakhi,DAOIST TRADITIONS COLLEGE OF CHINESE MEDICAL ARTS
Ayesha Akhil,LINFIELD UNIVERSITY-MCMINNVILLE CAMPUS
Prem Sharma,COASTAL CAROLINA UNIVERSITY
Rashmi Shiju,MONTANA TECHNOLOGICAL UNIVERSITY
Smitha Thankachan,MEMPHIS COLLEGE OF ART
Aidan C. Cairns,BETHEL SEMINARY-SAN DIEGO
Bill Bridges,INSTITUTE OF AMERICAN INDIAN AND ALASKA NATIVE CULTURE AND ARTS DEVELOPMENT
Caleb L. Linville,UNIVERSITY OF LOUISIANA AT MONROE
James T. Laverty,NEW ENGLAND INSTITUTE OF TECHNOLOGY
