paper,cites
"University Teachers During the First Lockdown Due to SARS-CoV-2 in Italy: Stress, Issues and Perceptions of Misconduct.",Modeling and Analysis of Non-functional Properties in Component-based Systems.
"University Teachers During the First Lockdown Due to SARS-CoV-2 in Italy: Stress, Issues and Perceptions of Misconduct.",Efficient clustering of identical generating units for the MILP-UC with a shifting generation level method.
"University Teachers During the First Lockdown Due to SARS-CoV-2 in Italy: Stress, Issues and Perceptions of Misconduct.",BembaSpeech: A Speech Recognition Corpus for the Bemba Language.
Tech Ethics Through Trust Auditing.,Bounded Model Checking for Deontic Interpreted Systems.
Authorship Issues When Articles are Retracted Due to Research Misconduct and Then Resubmitted.,A theory of dynamic contracting with financial constraints.
Authorship Issues When Articles are Retracted Due to Research Misconduct and Then Resubmitted.,A Framework for Managing Requirements of Software Product Lines.
Authorship Issues When Articles are Retracted Due to Research Misconduct and Then Resubmitted.,Benchmarking ADMM in nonconvex NLPs.
Nonhuman Value: A Survey of the Intrinsic Valuation of Natural and Artificial Nonhuman Entities.,Autonomous Experimentation.
Startup Ethics: Ethically Responsible Conduct of Scientists and Engineers at Theranos.,Giry and the Machine.
Energy Communities and the Tensions Between Neoliberalism and Communitarianism.,Using Binary Patterns for Counting Falsifying Assignments of Conjunctive Forms.
Energy Communities and the Tensions Between Neoliberalism and Communitarianism.,Security Policies as Membranes in Systems for Global Computing.
Energy Communities and the Tensions Between Neoliberalism and Communitarianism.,Hierarchy of asynchronous automata.
Energy Communities and the Tensions Between Neoliberalism and Communitarianism.,Videoconference System Based on WebRTC With Access to the PSTN.
How Do Chemistry Faculty and Graduate Students Engage in Decision Making on Issues Related to Ethical and Responsible Conduct of Research Including Authorship?,Semi-Automated Component-Based Development of Formally Verified Software.
How Do Chemistry Faculty and Graduate Students Engage in Decision Making on Issues Related to Ethical and Responsible Conduct of Research Including Authorship?,Computing Invariants with Transformers: Experimental Scalability and Accuracy.
How Do Chemistry Faculty and Graduate Students Engage in Decision Making on Issues Related to Ethical and Responsible Conduct of Research Including Authorship?,"University Teachers During the First Lockdown Due to SARS-CoV-2 in Italy: Stress, Issues and Perceptions of Misconduct."
The Future Ethics of Artificial Intelligence in Medicine: Making Sense of Collaborative Models.,Diacritical Companions.
The Future Ethics of Artificial Intelligence in Medicine: Making Sense of Collaborative Models.,Denotational Semantics for Probabilistic Refusal Testing.
Correction to: Energy Communities and the Tensions Between Neoliberalism and Communitarianism.,Maximum Entropy Correlated Equilibria.
Correction to: Energy Communities and the Tensions Between Neoliberalism and Communitarianism.,Metric Learning for Kernel Regression.
The Ethics of 'Deathbots'.,"Chromar, a Rule-based Language of Parameterised Objects."
The Ethics of 'Deathbots'.,Learning Multilevel Distributed Representations for High-Dimensional Sequences.
Interdisciplinary Confusion and Resolution in the Context of Moral Machines.,Stupid is as Stupid Does: Taking the Square Root of the Square of a Floating-Point Number.
"States of Uncertainty, Risk-Benefit Assessment and Early Clinical Research: A Conceptual Investigation.",Rational inattention and the monotone likelihood ratio property.
"States of Uncertainty, Risk-Benefit Assessment and Early Clinical Research: A Conceptual Investigation.",Ranking by calibrated AdaBoost.
"States of Uncertainty, Risk-Benefit Assessment and Early Clinical Research: A Conceptual Investigation.",MBase: Representing mathematical knowledge in a relational data base.
"""An Ethics of Commitment for Engineers"".",Ultra-high Dimensional Multiple Output Learning With Simultaneous Orthogonal Matching Pursuit: Screening Approach.
"""An Ethics of Commitment for Engineers"".",Dynamic survival bias in optimal stopping problems.
"""An Ethics of Commitment for Engineers"".",A Logical Approach to Hamiltonian Graphs.
Standards of Conducts for Biostatisticians and Stem Cell Researchers: A Call for Self-formulated Aspirational Ethics Over Built-in Prohibitive Ethics.,Continuous R-valuations.
Standards of Conducts for Biostatisticians and Stem Cell Researchers: A Call for Self-formulated Aspirational Ethics Over Built-in Prohibitive Ethics.,Coalgebra morphisms subsume open maps.
Standards of Conducts for Biostatisticians and Stem Cell Researchers: A Call for Self-formulated Aspirational Ethics Over Built-in Prohibitive Ethics.,A Hierarchical Nonparametric Bayesian Approach to Statistical Language Model Domain Adaptation.
Standards of Conducts for Biostatisticians and Stem Cell Researchers: A Call for Self-formulated Aspirational Ethics Over Built-in Prohibitive Ethics.,A Foundation for Space-Safe Transformations of Call-by-Need Programs.
The Ubuntu Robot: Towards a Relational Conceptual Framework for Intercultural Robotics.,On the Evolution Complexity of Design Patterns.
The Ubuntu Robot: Towards a Relational Conceptual Framework for Intercultural Robotics.,Interpretations on Quantum Fuzzy Computing: Intuitionistic Fuzzy Operations × Quantum Operators.
The Ubuntu Robot: Towards a Relational Conceptual Framework for Intercultural Robotics.,On a Categorical Framework for Coalgebraic Modal Logic.
Repentance as Rebuke: Betrayal and Moral Injury in Safety Engineering.,On propositions-as-types in realizability models.
Dual-Use and Trustworthy? A Mixed Methods Analysis of AI Diffusion Between Civilian and Defense R&D.,Binding Operators for Nominal Sets.
The Development of a Literacy-Based Research Integrity Assessment Framework for Graduate Students in Taiwan.,Monoid-labeled transition systems.
The Development of a Literacy-Based Research Integrity Assessment Framework for Graduate Students in Taiwan.,Performance evaluation of multi-stage reverse osmosis process with permeate and retentate recycling strategy for the removal of chlorophenol from wastewater.
The Development of a Literacy-Based Research Integrity Assessment Framework for Graduate Students in Taiwan.,Towards a refinement theory that supports reasoning about knowledge and time for multiple agents.
The Development of a Literacy-Based Research Integrity Assessment Framework for Graduate Students in Taiwan.,A meta-optimized hybrid global and local algorithm for well placement optimization.
Joint Interaction and Mutual Understanding in Social Robotics.,Cross-Domain Object Matching with Model Selection.
Empowering the Research Community to Investigate Misconduct and Promote Research Integrity and Ethics: New Regulation in Scandinavia.,Graphs with Girth at Least 8 are b-continuous.
Equity in AgeTech for Ageing Well in Technology-Driven Places: The Role of Social Determinants in Designing AI-based Assistive Technologies.,"Disclosure, competition, and learning from asset prices."
Equity in AgeTech for Ageing Well in Technology-Driven Places: The Role of Social Determinants in Designing AI-based Assistive Technologies.,Policy-Gradients for PSRs and POMDPs.
Ethics of Autonomous Collective Decision-Making: The Caesar Framework.,The Kernel Path in Kernelized LASSO.
Ethics of Autonomous Collective Decision-Making: The Caesar Framework.,Correction to: Energy Communities and the Tensions Between Neoliberalism and Communitarianism.
Ethics of Autonomous Collective Decision-Making: The Caesar Framework.,Farsighted manipulation and exploitation in networks.
Ethics of Autonomous Collective Decision-Making: The Caesar Framework.,Model Checking Merged Program Traces.
Correction: Equity in AgeTech for Ageing Well in Technology-Driven Places: The Role of Social Determinants in Designing AI-based Assistive Technologies.,A WOWA-based Aggregation Technique on Trust Values Connected to Metadata.
"Gender and Age Stereotypes in Robotics for Eldercare: Ethical Implications of Stakeholder Perspectives from Technology Development, Industry, and Nursing.",When crowds hold privileges: Bayesian unsupervised representation learning with oracle constraints.
On the (Non-)Rationality of Human Enhancement and Transhumanism.,Scalable System-level CTI Testing through Lightweight Coarse-grained Coordination.
On the (Non-)Rationality of Human Enhancement and Transhumanism.,Learning Thin Junction Trees via Graph Cuts.
Developing an Online Data Ethics Module Informed by an Ecology of Data Perspective.,A Cartesian Closed Category of Domains with Almost Algebraic Bases.
Developing an Online Data Ethics Module Informed by an Ecology of Data Perspective.,Specification and Verification using Message Sequence Charts.
Why the Epistemic Objection Against Using Sentience as Criterion of Moral Status is Flawed.,Typing the Behavior of Objects and Component Using Session Types.
Why the Epistemic Objection Against Using Sentience as Criterion of Moral Status is Flawed.,Nonlinear functional regression: a functional RKHS approach.
Why the Epistemic Objection Against Using Sentience as Criterion of Moral Status is Flawed.,Software approach to simulation-based hazard identification of complex industrial processes.
Taking Responsible Innovation to China: The Dalian Port Development Case.,Languages for Coalgebras on Datafunctors.
"Ethical, Legal and Social Issues of Digital Phenotyping as a Future Solution for Present-Day Challenges: A Scoping Review.",Case-based Reasoning for Web Service Discovery and Selection.
Conceptual Tools to Inform Course Design and Teaching for Ethical Engineering Engagement for Diverse Student Populations.,Annotation Generation From IMU-Based Human Whole-Body Motions in Daily Life Behavior.
Conceptual Tools to Inform Course Design and Teaching for Ethical Engineering Engagement for Diverse Student Populations.,Maximal safe set computation for pressure swing adsorption processes.
Conceptual Tools to Inform Course Design and Teaching for Ethical Engineering Engagement for Diverse Student Populations.,Dealing Denotationally With Stream-based Communication.
Learning from Retracted Papers Authored by the Highly Cited Iran-affiliated Researchers: Revisiting Research Policies and a Key Message to Clarivate Analytics.,On coalgebra of real numbers.
Learning from Retracted Papers Authored by the Highly Cited Iran-affiliated Researchers: Revisiting Research Policies and a Key Message to Clarivate Analytics.,Properties of General Semantic Operators Determined by Logic-Based Systems.
Ending the Energy-Poverty Nexus: An Ethical Imperative for Just Transitions.,The Effect of Room Complexity on Physical Object Selection Performance in 3-D Mobile User Interfaces.
Ending the Energy-Poverty Nexus: An Ethical Imperative for Just Transitions.,Semi-Automated Component-Based Development of Formally Verified Software.
Ending the Energy-Poverty Nexus: An Ethical Imperative for Just Transitions.,Investigating The Algebraic Structure of Dihomotopy Types.
Ending the Energy-Poverty Nexus: An Ethical Imperative for Just Transitions.,Automatic visualization of recursion trees: a case study on generic programming.
The Ethics of Supernumerary Robotic Limbs. An Enactivist Approach.,The Algebra of Partial Equivalence Relations.
Professional and Organizational Leadership Role in Ethics Management: Avoiding Reliance on Ethical Codification and Nurturing Ethical Culture.,Analogical Reasoning with Relational Bayesian Sets.
Professional and Organizational Leadership Role in Ethics Management: Avoiding Reliance on Ethical Codification and Nurturing Ethical Culture.,Applicative Bisimilarities for Call-by-Name and Call-by-Value λμ-Calculus.
