paper,co_author
Fast Committee-Based Structure Learning.,John A. Quinn
Quilting Stochastic Kronecker Product Graphs to Generate Multiplicative Attribute Graphs.,S. V. N. Vishwanathan
Sparsistency of the Edge Lasso over Graphs.,Alessandro Rinaldo
Sparsistency of the Edge Lasso over Graphs.,James Sharpnack
A Weighted Multi-Sequence Markov Model For Brain Lesion Segmentation.,Daniel García-Lorenzo
A Weighted Multi-Sequence Markov Model For Brain Lesion Segmentation.,Florence Forbes
A Weighted Multi-Sequence Markov Model For Brain Lesion Segmentation.,Michel Dojat
A Weighted Multi-Sequence Markov Model For Brain Lesion Segmentation.,Senan Doyle
A Spike and Slab Restricted Boltzmann Machine.,James Bergstra
A Spike and Slab Restricted Boltzmann Machine.,Yoshua Bengio
Fast State Discovery for HMM Model Selection and Learning.,Geoffrey J. Gordon
Fast State Discovery for HMM Model Selection and Learning.,Sajid M. Siddiqi
Wilks' phenomenon and penalized likelihood-ratio test for nonparametric curve registration.,Olivier Collier
Differentially Private Online Learning.,Prateek Jain 0002
Differentially Private Online Learning.,Pravesh Kothari
Active Sensing.,R. Bharat Rao
Active Sensing.,Rómer Rosales
Active Sensing.,Shipeng Yu
Multiresolution Deep Belief Networks.,Yichuan Tang
High-Rank Matrix Completion.,Laura Balzano
High-Rank Matrix Completion.,Robert D. Nowak
Active Learning with Clustering.,Zalán Bodó
Active Learning with Clustering.,Zsolt Minier
Classifier Cascade for Minimizing Feature Evaluation Cost.,Kilian Q. Weinberger
Classifier Cascade for Minimizing Feature Evaluation Cost.,Minmin Chen
Classifier Cascade for Minimizing Feature Evaluation Cost.,Olivier Chapelle
Classifier Cascade for Minimizing Feature Evaluation Cost.,Zhixiang Eddie Xu
Discriminative Mixtures of Sparse Latent Fields for Risk Management.,Felix V. Agakov
Discriminative Mixtures of Sparse Latent Fields for Risk Management.,Peter Orchard
Spectral Clustering on a Budget.,Ohad Shamir
Visualization of Online Discussion Forums.,Mitja Trampus
Estimating Diffusion Probability Changes for AsIC-SIS Model.,Hiroshi Motoda
Estimating Diffusion Probability Changes for AsIC-SIS Model.,Kazumi Saito
Estimating Diffusion Probability Changes for AsIC-SIS Model.,Kouzou Ohara
Estimating Diffusion Probability Changes for AsIC-SIS Model.,Masahiro Kimura
Comparing classification methods for predicting distance students' performance.,Marta E. Zorrilla
Multi-Stage Classifier Design.,Kirill Trapeznikov
Multi-Stage Classifier Design.,Venkatesh Saligrama
Joint Estimation of Structured Sparsity and Output Structure in Multiple-Output Regression via Inverse-Covariance Regularization.,Seyoung Kim
On Learning Discrete Graphical Models using Group-Sparse Regularization.,Pradeep Ravikumar
On Learning Discrete Graphical Models using Group-Sparse Regularization.,Sujay Sanghavi
On Learning Discrete Graphical Models using Group-Sparse Regularization.,Vishvas Vasuki
Half Transductive Ranking.,Corinna Cortes
Half Transductive Ranking.,David Grangier
Half Transductive Ranking.,Jason Weston
Half Transductive Ranking.,Mehryar Mohri
Half Transductive Ranking.,Ronan Collobert
Elliptical slice sampling.,Iain Murray 0001
Elliptical slice sampling.,Ryan Prescott Adams
Causality Challenge: Benchmarking relevant signal components for effective monitoring and process control.,Liam P. Maguire
Causality Challenge: Benchmarking relevant signal components for effective monitoring and process control.,Michael McCann
Causality Challenge: Benchmarking relevant signal components for effective monitoring and process control.,Yuhua Li 0001
On Bayesian Upper Confidence Bounds for Bandit Problems.,Emilie Kaufmann
On Bayesian Upper Confidence Bounds for Bandit Problems.,Olivier Cappé
Cross-Domain Object Matching with Model Selection.,Masashi Sugiyama
Negative Results for Active Learning with Convex Losses.,Steve Hanneke
A New Algorithm for Compressed Counting with Applications in Shannon Entropy Estimation in Dynamic Data.,Ping Li 0001
Optimal and Robust Price Experimentation: Learning by Lottery.,Onno Zoeter
TopicFlow Model: Unsupervised Learning of Topic-specific Influences of Hyperlinked Documents.,Daniel A. McFarland
TopicFlow Model: Unsupervised Learning of Topic-specific Influences of Hyperlinked Documents.,Ramesh Nallapati
Graphlet decomposition of a weighted network.,Hossein Azari Soufiani
A Hybrid Neural Network-Latent Topic Model.,Li Wan
A Hybrid Neural Network-Latent Topic Model.,Rob Fergus
Structured Prediction Cascades.,David J. Weiss
Winning the KDD Cup Orange Challenge with Ensemble Selection.,Claudia Perlich
Winning the KDD Cup Orange Challenge with Ensemble Selection.,Dong Wang
Winning the KDD Cup Orange Challenge with Ensemble Selection.,Grzegorz Swirszcz
Winning the KDD Cup Orange Challenge with Ensemble Selection.,Jianying Hu
Winning the KDD Cup Orange Challenge with Ensemble Selection.,Jing Xiao
Winning the KDD Cup Orange Challenge with Ensemble Selection.,Moninder Singh
Winning the KDD Cup Orange Challenge with Ensemble Selection.,Prem Melville
Winning the KDD Cup Orange Challenge with Ensemble Selection.,Vikas Sindhwani
Winning the KDD Cup Orange Challenge with Ensemble Selection.,Wei Xiong Shang
Winning the KDD Cup Orange Challenge with Ensemble Selection.,Yan Liu 0002
Winning the KDD Cup Orange Challenge with Ensemble Selection.,Yanfeng Zhu 0001
A Linear Ensemble of Individual and Blended Models for Music Rating Prediction.,Chen-Tse Tsai
A Linear Ensemble of Individual and Blended Models for Music Rating Prediction.,Cheng-Hao Tsai
A Linear Ensemble of Individual and Blended Models for Music Rating Prediction.,Chia-Mau Ni
A Linear Ensemble of Individual and Blended Models for Music Rating Prediction.,Chieh-Yen Lin
A Linear Ensemble of Individual and Blended Models for Music Rating Prediction.,Chien-Chih Wang
A Linear Ensemble of Individual and Blended Models for Music Rating Prediction.,Chih-Jen Lin
A Linear Ensemble of Individual and Blended Models for Music Rating Prediction.,Chun-Liang Li
A Linear Ensemble of Individual and Blended Models for Music Rating Prediction.,Chun-Sung Ferng
A Linear Ensemble of Individual and Blended Models for Music Rating Prediction.,Chung-Yi Li
A Linear Ensemble of Individual and Blended Models for Music Rating Prediction.,Hsuan-Tien Lin
A Linear Ensemble of Individual and Blended Models for Music Rating Prediction.,Ku-Chun Chou
A Linear Ensemble of Individual and Blended Models for Music Rating Prediction.,Kuan-Wei Wu
