conference,edition
FSDM,"Third Workshop on New Challenges for Feature Selection in Data Mining and Knowledge Discovery, FSDM 2008, held at ECML-PKDD 2008, Antwerp, Belgium, September 15, 2008"
WCCI Causation and Prediction Challenge,"Causation and Prediction Challenge at WCCI 2008, Hong Kong, June 1-6, 2008"
CMCS,"Coalgebraic Methods in Computer Science, CMCS 1999, Amsterdam, The Netherlands, March 20-21, 1999"
CMCS@ETAPS,"Proceedings of the Tenth Workshop on Coalgebraic Methods in Computer Science, CMCS@ETAPS 2010, Paphos, Cyprus, March 26-28, 2010"
TERMGRAPH@ETAPS,"Proceedings of the Fifth International Workshop on Computing with Terms and Graphs, TERMGRAPH@ETAPS 2009, York, UK, March 22, 2009"
CMCS,"Proceedings of the Workshop on Coalgebraic Methods in Computer Science, CMCS 2004, Barcelona, Spain, March 27-29, 2004"
CMCS,"Proceedings of the Eighth Workshop on Coalgebraic Methods in Computer Science, CMCS 2006, Vienna, Austria, March 25-27, 2006"
CMCS,"Coalgebraic Methods in Computer Science, CMCS 2000, Berlin, Germany, March 25-26, 2000"
CMCS,"Coalgebraic Methods in Computer Science, CMCS 2001, a Satellite Event of ETAPS 2001, Genova, Italy, April 6-7, 2001"
PDMC@CAV,"Proceedings of the 6th International Workshop on Parallel and Distributed Methods in verifiCation, PDMC@CAV 2007, Berlin, Germany, July 8, 2007"
WoLLIC,"Proceedings of the 12th Workshop on Logic, Language, Information and Computation, WoLLIC 2005, Florianópolis, Santa Catarina, Brazil, July 19-22, 2005"
QPL@MFPS,"Proceedings of the 6th International Workshop on Quantum Physics and Logic, QPL@MFPS 2009, Oxford, UK, April 8-9, 2009"
TERMGRAPH@ETAPS,"Proceedings of the Third International Workshop on Term Graph Rewriting, TERMGRAPH@ETAPS 2006, Vienna, Austria, 2006"
ISDT,"Proceedings of the 8th International Symposium on Domain Theory and Its Applications, ISDT 2019, Yangzhou, China, June 14-17, 2019"
ISDT,"Proceedings of the 6th International Symposium on Domain Theory and Its Applications, ISDT 2013, Hunan University in Changsha, China, October 25-29, 2013"
CMCS,"6th International Workshop on Coalgebraic Methods in Computer Science, CMCS 2003, Satellite Event for ETAPS 2003, Warsaw, Poland, April 5-6, 2003"
CMCS,"Coalgebraic Methods in Computer Science, CMCS 2002, Satellite Event of ETAPS 2002, Grenoble, France, April 6-7, 2002"
TERMGRAPH,"Proceedings of the 2nd International Workshop on Term Graph Rewriting, TERMGRAPH 2004, Rome, Italy, October 2, 2004"
WWV,"Proceedings of the International Workshop on Automated Specification and Verification of Web Sites, WWV 2005, Valencia, Spain, March 14-15, 2005"
PDMC@ETAPS,"Proceedings of the 7th International Workshop on Parallel and Distributed Methods in verifiCation, PDMC@ETAPS 2008, Budapest, Hungary, March 29, 2008"
QPL/DCM@ICALP,"Proceedings of the Joint 5th International Workshop on Quantum Physics and Logic and 4th Workshop on Developments in Computational Models, QPL/DCM@ICALP 2008, Reykjavik, Iceland, July 12-13, 2008"
TERMGRAPH,"Proceedings of the First International Workshop on Term Graph Rewriting, TERMGRAPH 2002, Barcelona, Spain, October 7, 2002"
WACT,"Proceedings of the Workshop on Algebra, Coalgebra and Topology, WACT 2013, Bath, UK, March 1, 2013"
QPL,"Proceedings of the 4th International Workshop on Quantum Programming Languages, QPL 2006, Oxford, UK, July 17-19, 2006"
ISDT,"Seventh International Symposium on Domain Theory and Its Applications, ISDT 2017, Shijiazhuang, China, June 2-6, 2017"
WoLLIC,"Proceedings of the 11th Workshop on Logic, Language, Information and Computation, WoLLIC 2004, Fontainebleau, France, July 19-22, 2004"
WWV,"Proceedings of the 3rd International Workshop on Automated Specification and Verification of Web Systems, WWV 2007, Venice, Italy, December 14, 2007"
PLACES@DisCoTec,"Proceedings of the First Workshop on Programming Language Approaches to Concurrency and Communication-cEntric Software, PLACES@DisCoTec 2008, Oslo, Norway, June 7, 2008"
CMCS,"Proceedings of the Ninth Workshop on Coalgebraic Methods in Computer Science, CMCS 2008, Budapest, Hungary, April 4-6, 2008"
WoLLIC,"Proceedings of the 13th Workshop on Logic, Language, Information and Computation, WoLLIC 2006, Stanford University, CA, USA, July 18-21, 2006"
WWV,"Proceedings of the 4th International Workshop on Automated Specification and Verification of Web Systems, WWV 2008, Siena, Italy, July 4, 2008"
TERMGRAPH@ETAPS,"Proceedings of the Fourth International Workshop on Computing with Terms and Graphs, TERMGRAPH@ETAPS 2007, Braga, Portugal, March 31, 2007"
APPIA-GULP-PRODE,"Declarative Programming - Selected Papers from AGP 2000, La Habana, Cuba, December 4-6, 2000"
LACPV@CAV,"Logical Aspects of Cryptographic Protocol Verification, LACPV 2001, in connection with CAV 2001, Paris, France, July 23, 2001"
WoLLIC,"10th Workshop on Logic, Language, Information and Computation, WoLLIC 2003, Ouro Preto, Minas Gerais, Brazil, July 29 - August 1, 2003"
CMCS,"First Workshop on Coalgebraic Methods in Computer Science, CMCS 1998, Lisbon, Portugal, March 28-29, 1998"
QPL,"Proceedings of the 3rd International Workshop on Quantum Programming Languages, QPL 2005, DePaul University, Chicago, USA, June 30 - July 1, 2005"
Workshop on Software Model Checking@CAV,"Workshop on Software Model Checking 2001, in connection with CAV 2001, Paris, France, July 23, 2001"
WoLLIC,"9th Workhop on Logic, Language, Information and Computation, WoLLIC 2002, Rio de Janeiro, Brazil, July 30 - August 2, 2002"
ISDT,"Proceedings of the Fifth International Symposium on Domain Theory, ISDT 2009, Shanghai, China, September 12-14, 2009"
PDMC@CAV,"2nd International Workshop on Parallel and Distributed Model Checking, PDMC 2003, Satellite Workshop of CAV 2003, Boulder, Colorado, USA, July 13, 2003"
PROBMIV,"First International Workshop on Probabilistic Methods in Verification, PROBMIV 1998, Indianapolis, Indiana, USA, June 19-20, 1998"
