journal,volume
Sci. Eng. Ethics,29
J. Econ. Theory,207
J. Econ. Theory,212
J. Econ. Theory,214
J. Econ. Theory,208
J. Econ. Theory,210
J. Econ. Theory,211
J. Econ. Theory,209
J. Econ. Theory,213
J. Econ. Theory,205
J. Econ. Theory,204
J. Econ. Theory,203
J. Econ. Theory,200
J. Econ. Theory,201
J. Econ. Theory,199
J. Econ. Theory,206
J. Econ. Theory,202
Web Intell.,20
Web Intell.,19
IEEE Trans. Hum. Mach. Syst.,51
Comput. Chem. Eng.,152
Comput. Chem. Eng.,155
Comput. Chem. Eng.,149
Comput. Chem. Eng.,147
Comput. Chem. Eng.,145
Comput. Chem. Eng.,144
Comput. Chem. Eng.,153
Comput. Chem. Eng.,140
Comput. Chem. Eng.,142
Comput. Chem. Eng.,133
Comput. Chem. Eng.,136
Comput. Chem. Eng.,134
Comput. Chem. Eng.,141
Comput. Chem. Eng.,137
Comput. Chem. Eng.,143
Comput. Chem. Eng.,139
Comput. Chem. Eng.,138
Comput. Chem. Eng.,132
Comput. Chem. Eng.,135
Comput. Chem. Eng.,130
Comput. Chem. Eng.,120
Comput. Chem. Eng.,126
Comput. Chem. Eng.,122
Comput. Chem. Eng.,124
Comput. Chem. Eng.,125
Comput. Chem. Eng.,128
Comput. Chem. Eng.,123
Comput. Chem. Eng.,131
Comput. Chem. Eng.,121
Comput. Chem. Eng.,127
Comput. Chem. Eng.,129
Comput. Chem. Eng.,116
Comput. Chem. Eng.,119
Comput. Chem. Eng.,110
Comput. Chem. Eng.,113
Comput. Chem. Eng.,115
Comput. Chem. Eng.,114
Comput. Chem. Eng.,117
Comput. Chem. Eng.,109
Comput. Chem. Eng.,108
Comput. Chem. Eng.,112
Comput. Chem. Eng.,118
Comput. Chem. Eng.,111
