journal,volume
meltdownattack.com,['26']
GTE Laboratories Incorporated,"['19', '20']"
University of California at Berkeley,"['20', '201']"
ANSI X3H2,['131']
ANSI X2H2,"['19', '23', '27']"
IWBS Report,['27']
LILOG-Report,['19']
LILOG-Memo,"['TUM I 9238', '25']"
IBM Publication,"['14', '20', '185', '28']"
"Research Report / RJ / IBM / San Jose, California",['93-20']
Research Report / G / IBM / Cambridge Scientific Center,['27']
"Universität Trier, Mathematik/Informatik, Forschungsbericht","['26', '26']"
Technical Report,['23']
"Forschungsberichte, TU Munich","['24', 'TUM I 9011', '14']"
Digital System Research Center Report,"['20', '137', '13']"
Compulog Newsletter,"['25', '21', '19']"
Hydrology and Earth System Sciences,"['20', '22', '90', '92-28']"
"Technical Rep. UKSC 0060, IBM United Kingdom Scientific Centre","['24', 'TUM I 9009', '13', '26']"
"ETH Zurich, Department of Computer Science / Technical Report",['96-45']
Sci. Eng. Ethics,"['29', '17', '16']"
J. Econ. Theory,"['14', '24', '222']"
