paper,volume
Spectre Attacks: Exploiting Speculative Execution.,
Meltdown,
An Evaluation of Object-Oriented DBMS Developments: 1994 Edition.,TR-0263-08-94-165
DARWIN: On the Incremental Migration of Legacy Information Systems,TR-0222-10-92-165
"Integrating Heterogeneous, Autonomous, Distributed Applications Using the DOM Prototype.",TR-0174-12-91-165
Object Model Capabilities For Distributed Object Management.,TM-0149-06-89-165
Integrating Object-Oriented Applications and Middleware with Relational Databases.,TR-0310-11-95-165
Towards a Transaction Management System for DOM.,TR-0146-06-91-165
A 'RISC' Object Model for Object System Interoperation: Concepts and Applications.,TR-0231-08-93-165
MetaObject Protocol Concepts for a RISC Object Model.,TR-0244-12-93-165
Object Data Language Facilities for Multimedia Data Types.,TR-0169-12-91-165
Object Data Model Facilities for Multimedia Data Types.,TM-0332-11-90-165
Distributed Object Management Technology.,TM-0014-06-88-165
Experiments with Dispatching in a Distributed Object System.,TR-0236-09-93-165
Muffin: A Distributed Database Machine,UCB/ERL M79/28
Object Oriented DBMS as a Generalization of Relational DBMS,X3H2-90-412
Inheritance for ADTs (revised),DBL:KAW-006 X3H2-91-133rev1
Modification of User Defined Types,X3H2-90-292
Object ADTs (with improvements for Value ADTs),DBL:ARL-029 X3H2-91-083rev1
Unification of Value and Object ADTs,X3H2-92-062
Die Repräsentation räumlichen Wissens und die Behandlung von Einbettungsproblemen mit Quadtreedepiktionen,191
Algebraical Optimization of FTA-Expressions,59
Wissensrepräsentation und Maschinelles Lernen,15
An Algebraic Characterization of STUF,40
A Combined Symbolic-Empirical Apprach for the Automatic Translation of Compounds,225
Zur Systemarchitektur von LILOG,2
Mengenorientierte Auswertung von Anfragen in der Logikprogrammiersprache PROLOG,61
Definite Resolution over Constraint Languages,53
Dokumentation der Syntax der LILOG-Grammatik,9
Cognitive Linguistics: The Processing of Spatial Concepts,45
LILOG-DB: Database Support for Knowledge-Based Systems,56
Differential Closure Computation for General Horn-Clause Queries,201
