description,decision,paper,reviewer
cevfUbBrSirrmaweFdqxVehPbVDnRNrPkFBQquOAJHIUzItbNjQVIirudxDrjeGaslBLVHZYGmzjZxNchknsowvfdsewaBdKvZny,Not Accepted,Research Ethics in the Age of Digital Platforms.,Khadra-Hanane Toumi
NrsHYTvLJtmeTcABhIVOugYAGPudhIsTMYIpPbBTAhACtUroAkquWekkZUkDeqrBWQBOzLOnREzulAgHUPFzKgcSsIvsOrNQjYdv,Accepted,Research Ethics in the Age of Digital Platforms.,Mark J. Schervish
ARjDtVgnQqXcufDYqHnwDmJAVoXjbIMycZhTUlSyUUOpEZquJdnivwFzicBNWRpTyoexCokWdWvPfDNwszklmbVdWaICcWMTwpjf,Not Accepted,Research Ethics in the Age of Digital Platforms.,Mark Brörkens
IQlbshllIwDuZzchMVgxSCaBplWfRNEqeIXjgySaPebhxWIdhxeIsXQQmwIearuOQddWogPOFNSSnvZtGSTFsJasNHeLFxfFMkHd,Not Accepted,Research Ethics in the Age of Digital Platforms.,Akihiro Koide
ksOoUZibLNUIOtfZFoUdcngvGBCgBYrPHNIwmeffNRQUsJQgakVPgSjniTRdbPuDHCjqFOrbhoXwzvTPiICUdEjDQwBsXSecBqbJ,Not Accepted,Research Ethics in the Age of Digital Platforms.,C. Barry Jay
iHfLRPTFrjIYIfchPhKEsvnvjBICZWUFhNXFxIGRytQyHoCDEOritEztvjfIdDYALNzBmGBrWGvUNYrzmLRJKhWhPiJMjDmXjZAa,Not Accepted,Research Ethics in the Age of Digital Platforms.,David Kelsey
isJHlwSyqHSKYxabYsOYCJDLQKIbgxQRwRsHgXsqdkcDYazvKdjsrvzusWfnKtjTvHVWwxccWXuRMtdFgxAbkoKhFsBTGRkmylqO,Not Accepted,Research Ethics in the Age of Digital Platforms.,Slawomir Lasota 0001
kzrGyVwVeuyfTRtDBmcKPxFFOjBVvMeudyGhiKgYPvinmQpEcTWNFbirIicmseVweCcIIviIiNEMXGqwFVhlMPAZEXkBmUgpjaLG,Accepted,Research Ethics in the Age of Digital Platforms.,Chuan-Yi Chung
ImHmGVZenDnYGZaLeAYdyAwqNHhrwMypKysSmsWnDeaLtxujjJkxhOCMwtnDRYuKJaVZlFiFxLqKHrZcbgozIHiBjouytvYKqhmN,Accepted,What do Retraction Notices Reveal About Institutional Investigations into Allegations Underlying Retractions?,Lorenza Petrini
ZpetYoNCzcmywfzVGGOYgkbXdByGpWquGkGQbJTGpSoCughXGXfwcNtNDHuLMIikNSpvxGkrVENnGtEizdgHMIuzkrklTgmhEtMV,Accepted,What do Retraction Notices Reveal About Institutional Investigations into Allegations Underlying Retractions?,Purushottam Kar
dYEKUXImSrkuDVBqOYKRwrsLEbNHOZLaaWcdLerjnjmbdlrhiXMEImvxIsTThxBQhliTnGemJtsTmVadMoOJHAmSVSkwcOcfUuBK,Accepted,What do Retraction Notices Reveal About Institutional Investigations into Allegations Underlying Retractions?,Fabian Reimeier
LaCIYLhXSDGEKSdWxSoAnIPygyhZGBEqMUTGTDpklHqeTmuKqBVKoTEMLfJhUhIxXSoPeFRWrqJpmYDcBtOGnRpIldlJAJgjesmX,Not Accepted,What do Retraction Notices Reveal About Institutional Investigations into Allegations Underlying Retractions?,Roberta De Filippis
QNaAaLwippXcUYTlSsRhZUMRDkxiQhhYCCBAdeyyQYRAjvzbKZnUtGMDBjUOzuhFOUxohflEKTUtLkzYvNNQFNXxktDFrHklOHQB,Accepted,What do Retraction Notices Reveal About Institutional Investigations into Allegations Underlying Retractions?,Adam Chlipala
MjvNMjfqnIaIvQHSDXZXuYOXVIsUcSavjHWlIEniBBZCpobddLXVCcYZAFAgnrvGDUlEYmioGcrBbzUtsqCsFMgIVjYnArIIyKND,Not Accepted,What do Retraction Notices Reveal About Institutional Investigations into Allegations Underlying Retractions?,Huiqing Li
DTqzFSwszSEHUCBpVzogjzhJsdPSswYIwKXjVmZBjHaXZOmbLUytjcwmAQFdGBaMeiTKQvclGauRjASepcyCxqevMmFwAtssHNQt,Not Accepted,What do Retraction Notices Reveal About Institutional Investigations into Allegations Underlying Retractions?,Christoffer Rosenkilde Nielsen
eABqzDdrbvMtxoNtQzlyIeqkdlCDTKTLyjWdxquhjoWIfUVdYrWFtZqleShOoQZcgGQcOgHHdQwpaJkrVotEvyAawcInirghGqZv,Not Accepted,What do Retraction Notices Reveal About Institutional Investigations into Allegations Underlying Retractions?,C. Parra
BQCRAsSNLmMYJjQcHdglxeVmUcFAgIuEFzRUytPmKINRtFdaTVDVzbyFBJMqmntgvbjTaMxAWiGuUtFSBsrLpBqqoNtkDEbZWQQO,Accepted,What do Retraction Notices Reveal About Institutional Investigations into Allegations Underlying Retractions?,Keye Martin
PKZYpOfGTNosyZCYhvccUveGYigknesaaGzfxlqmdWEwYlIfAnFYoqgKWhcuzHMmydjDsdkNzETzlROsyMylKHyzUxFoPDrdEbbJ,Not Accepted,Principal Investigators' Priorities and Perceived Barriers and Facilitators When Making Decisions About Conducting Essential Research in the COVID-19 Pandemic.,Roswitha Bardohl
qkRhVcONMGxTQWwjdUbriaSgqpZelFNuFZkefmldHctORTwtEEOjNuqrutTonOAigucBirlrzlOTrPNOnRgDlEcNWlvLKaPBLrhL,Not Accepted,Principal Investigators' Priorities and Perceived Barriers and Facilitators When Making Decisions About Conducting Essential Research in the COVID-19 Pandemic.,Panagiotis Germanakos
CcrmKvGtzEoFhnfzYBMqHDlUyNaHXYJlExbwIgKYCqKmZJhXoWVRqXdynadejIMRuFWsqCPQIhRTPSRgRsEPYOAFtNQbDrZPwYza,Not Accepted,Principal Investigators' Priorities and Perceived Barriers and Facilitators When Making Decisions About Conducting Essential Research in the COVID-19 Pandemic.,Isidro Ramos
JuHlNxOjEPHIPnZbMeKkTbGOBwjcglLiAHglEmGQTWHclyZMFZNnilxzCfztEfPnKSASaUNUmiAPvKsgrfUqPgXPIOWMwbxLCzPd,Not Accepted,Principal Investigators' Priorities and Perceived Barriers and Facilitators When Making Decisions About Conducting Essential Research in the COVID-19 Pandemic.,Noah D. Goodman
yxWgvDLdAhEyDBIklZmApDhjkhdxWAvGkBLVdbtsLhMMjcqWixVXNtEaAAWRtPhrRdKqHqPCabDXRftZeEBhVclMERwIYzdhfDiJ,Accepted,Principal Investigators' Priorities and Perceived Barriers and Facilitators When Making Decisions About Conducting Essential Research in the COVID-19 Pandemic.,Hojin Lee
oeZRTogNUujyORepvttFNquARkdXqcOyvsuBpFVNiDDSbRpuqamQAMxPCFVoGVcGLXcJbdhWTrgxTowpqEdaLAJIfZleulugqwkH,Accepted,SAF: Stakeholders' Agreement on Fairness in the Practice of Machine Learning Development.,Roberto Baratti
kTiFZbVKTQeLYbgTIlVCCVpIiXCsTFobBJdJEnVuKdIwejtjbbcgnWayQWOaIkewRAqmrPuKScaLDaKuviUcfMMbgamunYLXKOBK,Accepted,SAF: Stakeholders' Agreement on Fairness in the Practice of Machine Learning Development.,Giuseppe F. Italiano
vtISFauInPEKEZbckGHTqjzReZQvZDPzmbmWIjGvDyeFtnztzGoyqgaTySoxZZmdNnjXvpCqMBUROrvMUzWjJTgPsojYcveOFRpk,Not Accepted,SAF: Stakeholders' Agreement on Fairness in the Practice of Machine Learning Development.,Zhiwen Yu 0001
efZtIQUKULeOwoKOczNVnENVkydVyFxiWtLtCvyfHrjcvWmEqYKfBjVgRMHvgbjRrUMtfHdvYxnzysCBVJqaEHQZDCGxDEYKzaxS,Accepted,SAF: Stakeholders' Agreement on Fairness in the Practice of Machine Learning Development.,Rahul Anantharaman
kERdaWrjdZartCKlFnkEyJXhPMMduIrmjptByMWYGyaKFwawVmokvceqIByDpRxtZOmtIDJAaaNjlDGsDkhbKnZDxGfRvPzXZJff,Accepted,SAF: Stakeholders' Agreement on Fairness in the Practice of Machine Learning Development.,Robert Susmaga
WpRjKmkpVlJCwDfFjCiUBaKmxdLwBgsHprfNNgYgKyCeozzkUTSifpNmxvflZyidxNpSrPoKvgMiHtbMWEeCbLxJgNhEhZhgJXBx,Not Accepted,SAF: Stakeholders' Agreement on Fairness in the Practice of Machine Learning Development.,Richard Socher
PYzeVRNzxGbJmrAEbJWzpqVyvCpRPxYhQBBoVFqTKXyrzpuFYdJjSCuPbQWgNNWuyKvCIcTSBmlwtCIPKNJxbvPtcDqdVDQRrvGn,Not Accepted,SAF: Stakeholders' Agreement on Fairness in the Practice of Machine Learning Development.,Viviana Bono
NHoibQdkboKofTwmLhBnHeaTEUGdVVJHEFYYWoWmOehjbLsSffBNgtiRGibCGSXVlExKwtfyTkhtCwZStRmxPwmksaHdbwWlKOkZ,Accepted,SAF: Stakeholders' Agreement on Fairness in the Practice of Machine Learning Development.,Miguel Á. Carreira-Perpiñán
AAfyHaSKnQhatfYbtLEBrONQRVMrIbKlAmZgdtLwoPtYZfuktCxrPuSGLvpqsAyWhylJXnSUUfqwJDuXwOFkWNMIryOrgUelcNDj,Accepted,SAF: Stakeholders' Agreement on Fairness in the Practice of Machine Learning Development.,Rodolphe Jenatton
IpdKaMhHgKZTMaxOZXfqrTSzIPXIyLVIQMbCnUXcLPnCgKuCVgXZpfWFbuytoOxSZFBEhLQYKdKlRVSwmiyEuoycASQDHVTlpdFw,Accepted,How Smart are Smart Materials? A Conceptual and Ethical Analysis of Smart Lifelike Materials for the Design of Regenerative Valve Implants.,Edwin V. Bonilla
rjURWFXcMOBqXnZVLXqUSijaZNLpXCatrkxweKBSSJbAudlYxqkKqZOwjuRxsDSkXDMoRPSsrufisNBXWfeGlXdpUPRlSUyZnInV,Accepted,How Smart are Smart Materials? A Conceptual and Ethical Analysis of Smart Lifelike Materials for the Design of Regenerative Valve Implants.,Florent Jacquemard
jYKidSrBOcmvFkanlgZgbnmYDOrCaaCtNVKJjJYCJcayoHgulkEPfeqnFTzieGUNMeEOtnSValypnTmvcsKbpTGFPifUhLaKbllg,Accepted,How Smart are Smart Materials? A Conceptual and Ethical Analysis of Smart Lifelike Materials for the Design of Regenerative Valve Implants.,Hiroaki Sasaki
