volume,year
29,2023
207,2023
212,2023
214,2023
208,2023
210,2023
211,2023
209,2023
213,2023
205,2022
204,2022
203,2022
200,2022
201,2022
199,2022
206,2022
202,2022
20,2022
19,2021
51,2021
152,2021
155,2021
149,2021
147,2021
145,2021
144,2021
153,2021
140,2020
142,2020
133,2020
136,2020
134,2020
141,2020
137,2020
143,2020
139,2020
138,2020
132,2020
135,2020
130,2019
120,2019
126,2019
122,2019
124,2019
125,2019
128,2019
123,2019
131,2019
121,2019
127,2019
129,2019
116,2018
119,2018
110,2018
113,2018
115,2018
114,2018
117,2018
109,2018
108,2018
112,2018
118,2018
111,2018
