paper,main_author
Fast Committee-Based Structure Learning.,Ernest Mwebaze
Quilting Stochastic Kronecker Product Graphs to Generate Multiplicative Attribute Graphs.,Hyokun Yun
Sparsistency of the Edge Lasso over Graphs.,Aarti Singh
A Weighted Multi-Sequence Markov Model For Brain Lesion Segmentation.,Christian Barillot
A Spike and Slab Restricted Boltzmann Machine.,Aaron C. Courville
Fast State Discovery for HMM Model Selection and Learning.,Andrew W. Moore 0001
Wilks' phenomenon and penalized likelihood-ratio test for nonparametric curve registration.,Arnak S. Dalalyan
Differentially Private Online Learning.,Abhradeep Thakurta
Active Sensing.,Balaji Krishnapuram
Multiresolution Deep Belief Networks.,Abdel-rahman Mohamed
High-Rank Matrix Completion.,Brian Eriksson
Active Learning with Clustering.,Lehel Csató
Classifier Cascade for Minimizing Feature Evaluation Cost.,Dor Kedem
Discriminative Mixtures of Sparse Latent Fields for Risk Management.,Amos J. Storkey
Spectral Clustering on a Budget.,Naftali Tishby
Faithfulness in Chain Graphs: The Gaussian Case.,José M. Peña 0001
Visualization of Online Discussion Forums.,Marko Grobelnik
Estimating Diffusion Probability Changes for AsIC-SIS Model.,Akihiro Koide
Comparing classification methods for predicting distance students' performance.,Diego García-Saiz
Multi-Stage Classifier Design.,David A. Castañón
Joint Estimation of Structured Sparsity and Output Structure in Multiple-Output Regression via Inverse-Covariance Regularization.,Kyung-Ah Sohn
On Learning Discrete Graphical Models using Group-Sparse Regularization.,Ali Jalali
The Use of Bernoulli Mixture Models for Identifying Corners of a Hypercube and Extracting Boolean Rules From Data.,Mehreen Saeed
Half Transductive Ranking.,Bing Bai
Elliptical slice sampling.,David J. C. MacKay
Causality Challenge: Benchmarking relevant signal components for effective monitoring and process control.,Adrian Johnston
On Bayesian Upper Confidence Bounds for Bandit Problems.,Aurélien Garivier
"Discussion of ""The Discrete Infinite Logistic Normal Distribution for Mixed-Membership Modeling"".",Frank D. Wood
Cross-Domain Object Matching with Model Selection.,Makoto Yamada
Negative Results for Active Learning with Convex Losses.,Liu Yang 0001
A New Algorithm for Compressed Counting with Applications in Shannon Entropy Estimation in Dynamic Data.,Cun-Hui Zhang
